time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2019-01-25 04:00:00,1.31009,1.31383,1.30992,1.31269,8351,12,0,2019-01-25 04:00:00,2019-01-25 07:00:00
2019-01-25 08:00:00,1.31269,1.31282,1.30693,1.30829,27718,12,0,2019-01-25 11:00:00,2019-01-25 08:00:00
2019-01-25 12:00:00,1.30829,1.3112,1.3061,1.30879,25267,12,0,2019-01-25 12:00:00,2019-01-25 14:00:00
2019-01-25 16:00:00,1.30879,1.31769,1.30825,1.31747,32633,12,0,2019-01-25 16:00:00,2019-01-25 18:00:00
2019-01-25 20:00:00,1.31748,1.32173,1.31694,1.31971,14234,12,0,2019-01-25 20:00:00,2019-01-25 23:00:00
2019-01-28 00:00:00,1.31837,1.32104,1.31837,1.31962,7798,12,0,2019-01-28 00:00:00,2019-01-28 00:00:00
2019-01-28 04:00:00,1.31955,1.32057,1.3189,1.31909,6678,8,0,2019-01-28 07:30:00,2019-01-28 06:00:00
2019-01-28 08:00:00,1.3191,1.31951,1.31514,1.3158,21939,12,0,2019-01-28 11:30:00,2019-01-28 08:00:00
2019-01-28 12:00:00,1.31581,1.31868,1.31373,1.31637,20378,12,0,2019-01-28 15:00:00,2019-01-28 13:00:00
2019-01-28 16:00:00,1.31637,1.31792,1.31362,1.31677,27547,12,0,2019-01-28 16:30:00,2019-01-28 17:00:00
2019-01-28 20:00:00,1.31677,1.31735,1.31538,1.31566,8958,12,0,2019-01-28 23:30:00,2019-01-28 20:00:00
2019-01-29 00:00:00,1.31559,1.31598,1.31405,1.31493,9013,12,0,2019-01-29 03:00:00,2019-01-29 02:00:00
2019-01-29 04:00:00,1.31494,1.31554,1.31459,1.31521,6581,7,0,2019-01-29 05:30:00,2019-01-29 06:30:00
2019-01-29 08:00:00,1.31523,1.31764,1.31289,1.31664,23010,4,0,2019-01-29 09:30:00,2019-01-29 11:30:00
2019-01-29 12:00:00,1.31664,1.31953,1.31439,1.31903,30640,12,0,2019-01-29 13:30:00,2019-01-29 15:30:00
2019-01-29 16:00:00,1.31903,1.31992,1.31237,1.3136,33963,12,0,2019-01-29 19:30:00,2019-01-29 16:00:00
